Lewis School of English	Southampton	UK	Homestay	Executive Homestay	Single	Private	FB	256	0	0	16	0	20	20/06/2026	01/08/2026							
Lewis School of English	Southampton	UK	Residence	Single En-suite Room	Single	Private	SC	190	0	0	18	0										
Lewis School of English	Southampton	UK	Studio 	Austen House 1 Person	Studio	Private	SC	215	0	0	18	0										
Lewis School of English	Southampton	UK	Studio 	Crescent House 1 Person	Studio	Private	SC	225	0	0	18	0										
Lewis School of English	Southampton	UK	Studio 	Austen House 2 Person	Studio	Private	SC	250	0	0	18	0										
Lewis School of English	Southampton	UK	Studio 	Crescent House 2 Person	Studio	Private	SC	260	0	0	18	0										
Bayswater	London	UK	Homestay	Single Room Zone 4-5	Single	Shared	HB	270	50	0	16	20	30	21/06/2026	22/08/2026	50	20/12/2026	27/12/2026				
Bayswater	London	UK	Homestay	Twin Room Zone 4-5 	Twin	Shared	HB	260	50	0	16	20	30	21/06/2026	22/08/2026	50	20/12/2026	27/12/2026				
Bayswater	London	UK	Homestay	Single Room Zone 3	Single	Shared	HB	290	50	0	16	20	30	21/06/2026	22/08/2026	50	20/12/2026	27/12/2026				
Bayswater	London	UK	Homestay	Twin Room Zone 3	Twin	Shared	HB	280	50	0	16	20	30	21/06/2026	22/08/2026	50	20/12/2026	27/12/2026				
Bayswater	London	UK	Homestay	Single Room Zone 2	Single	Shared	HB	300	50	0	16	20	30	21/06/2026	22/08/2026	50	20/12/2026	27/12/2026				
Bayswater	London	UK	Homestay	Twin Room Zone 2	Twin	Shared	HB	290	50	0	16	20	30	21/06/2026	22/08/2026	50	20/12/2026	27/12/2026				
Bayswater	London	UK	Residence	Standard Single Studio Zone 1 -2	Single	Private	SC	460	50	0	18											
Bayswater	London	UK	Residence	Premium Single Studio Zone 1- 4	Single	Private	SC	595	50	0	18											
Bayswater	Liverpool	UK	Homestay	Homestay Single Room	Single	Shared	HB	200	50	0	16	20	30	21/06/2026	22/08/2026	50	20/12/2026	27/12/2026				
Bayswater	Liverpool	UK	Homestay	Homestay Twin Room 	Twin	Shared	HB	190	50	0	16	20	30	21/06/2026	22/08/2026	50	20/12/2026	27/12/2026				
Bayswater	Liverpool	UK	Residence	Standard Single En suite	Single	Private	SC	175	50	0	18											
Bayswater	Liverpool	UK	Residence	Premium Single En suite	Single	Private	SC	205	50	0	18											
Bayswater	Liverpool	UK	Studio 	Premium Studio 	Single	Private	SC	265	50	0	18											
Bayswater	Brighton	UK	Homestay	Homestay Single Room	Single	Shared	HB	210	50	0	16	20	30	21/06/2026	22/08/2026	50	20/12/2026	27/12/2026				
Bayswater	Brighton	UK	Homestay	Homestay Twin Room 	Twin	Shared	HB	190	50	0	16	20	30	21/06/2026	22/08/2026	50	20/12/2026	27/12/2026				
Bayswater	Brighton	UK	Residence	Standard Single En suite	Single	Private	SC	350	50	0	18											
Bayswater	Brighton	UK	Residence	Standard Single En suite (Summer only)	Single	Private	SC	350	50	0	18											
Bayswater	Brighton	UK	Residence	Budget Single En Suite 	Single	Private	SC	275	50	0	18											
Bayswater	Brighton	UK	Studio 	Premium Studio 	Single	Private	SC	350	50	0	18											
Bayswater	Bournemouth	UK	Homestay	Homestay Single Room	Single	Shared	HB	190	50	0	16	20	30	21/06/2026	22/08/2026	50	20/12/2026	27/12/2026				
Bayswater	Bournemouth	UK	Homestay	Homestay Twin Room 	Twin	Shared	HB	170	50	0	16	20	30	21/06/2026	22/08/2026	50	20/12/2026	27/12/2026				
Bayswater	Bournemouth	UK	Residence	Standard Single En suite	Single	Private	SC	175	50	0	18											
Bayswater	Bournemouth	UK	Residence	Premium Single En suite	Single	Private	SC	275	50	0	18											
Bayswater	Bournemouth	UK	Residence	Standard Single En suite (Summer only)	Single	Private	HB	445	50	0	16											
Bayswater	Leeds	UK																				
Bayswater	Vancouver	CA																				
Bayswater	Toronto	CA																				
Bayswater	Calgary	CA																				
Bayswater	Pairs	FR																				
Bayswater	Cape Town	ZA																				
Bayswater	Limassol	CY																				
Stafford House	London	UK	Homestay	Homestay	Single	Shared	HB	270	70	0	16	0	25	27/06/2026	15/08/2026	50	19/12/2026	26/12/2026				
Stafford House	London	UK	Homestay	Homestay	Twin	Shared	HB	255	70	0	16	0	25	27/06/2026	15/08/2026	50	19/12/2026	26/12/2026				
Stafford House	London	UK	Homestay	Homestay	Single	Shared	SC	250	70	0	18	0	25	27/06/2026	15/08/2026	50	19/12/2026	26/12/2026				
Stafford House	London	UK	Homestay	Homestay	Twin	Shared	SC	235	70	0	18	0	25	27/06/2026	15/08/2026	50	19/12/2026	26/12/2026				
Stafford House	London	UK	Homestay	Superior Homestay	Single	Private	HB	325	70	0	16	0	25	27/06/2026	15/08/2026	50	19/12/2026	26/12/2026				
Stafford House	London	UK	Homestay	Superior Homestay	Single	Private	SC	305	70	0	18	0	25	27/06/2026	15/08/2026	50	19/12/2026	26/12/2026				
Stafford House	London	UK	Residence	Standered  Residence 	Single	Private	SC	380	70	0	18	0	25	27/06/2026	01/08/2026							
Stafford House	London	UK	Studio 	"Premium Residence Studio
Camden"	Studio	Private	SC	470	70	0	18	0	25	27/06/2026	01/08/2026							
Stafford House	London	UK	Studio 	"Premium Residence Studio
Camden"	Studio	Private	SC	325	70	0	18	0	25	27/06/2026	01/08/2026							
Stafford House	London	UK	Studio 	"Premium Residence Studio West
London"	Studio	Private	SC	425	70	0	18	0	25	27/06/2026	01/08/2026							
